Country,Life Expectancy,Mean Years of Schooling,Gross National Income,Gender Development Index,HDI
Norway,82.3,12.9,66494,0.991,0.957
Switzerland,83.6,13.4,69394,0.980,0.955
Ireland,82.3,12.7,68371,0.978,0.955
Germany,81.3,14.2,55314,0.979,0.947
Hong Kong,84.9,12.3,62985,0.948,0.952
Australia,83.4,12.9,48085,0.978,0.951
Iceland,82.9,13.5,56588,0.995,0.959
Sweden,82.8,12.5,54508,0.997,0.947
Singapore,83.5,11.5,92277,0.940,0.938
Netherlands,82.3,12.4,57707,0.971,0.941
Denmark,80.9,12.6,58662,0.979,0.948
Finland,81.9,12.8,49334,0.990,0.940
Canada,82.3,13.8,46625,0.988,0.929
New Zealand,82.1,12.9,38522,0.990,0.931
United Kingdom,81.3,13.0,46071,0.979,0.929
Belgium,81.6,12.1,52085,0.975,0.937
United States,78.9,13.4,63826,0.989,0.926
Austria,81.6,12.3,56243,0.974,0.922
Israel,82.9,13.1,40187,0.965,0.919
Japan,84.3,13.4,42932,0.962,0.919
Liechtenstein,80.7,11.2,131032,0.961,0.916
South Korea,83.0,12.2,43044,0.936,0.916
Luxembourg,82.3,12.4,79952,0.967,0.916
France,82.5,11.5,43518,0.986,0.901
Slovenia,81.2,12.6,37616,0.973,0.917
Spain,83.6,10.3,38085,0.986,0.904
Czechia,79.4,12.7,38109,0.968,0.900
Italy,83.2,10.4,38960,0.979,0.895
Malta,82.6,11.3,40855,0.963,0.918
Estonia,78.5,13.0,38228,0.975,0.900
Greece,82.2,10.7,30427,0.978,0.888
Cyprus,82.9,12.7,31552,0.950,0.896
Poland,78.3,13.5,33256,0.980,0.876
Lithuania,76.7,13.2,37457,0.979,0.882
UAE,78.0,11.9,67462,0.949,0.911
Andorra,83.4,10.2,58985,0.971,0.868
Slovakia,77.8,12.6,32058,0.968,0.860
Qatar,80.2,10.7,92418,0.931,0.848
Hungary,76.7,11.8,31202,0.973,0.854
Saudi Arabia,76.7,10.2,49338,0.895,0.854
Portugal,81.6,9.2,34860,0.980,0.864
Bahrain,77.9,10.3,43077,0.929,0.875
Latvia,75.3,13.0,31262,0.979,0.879
Chile,80.5,10.6,24067,0.980,0.855
Croatia,78.5,11.4,27295,0.972,0.858
Argentina,76.9,10.9,22838,0.991,0.842
Montenegro,76.9,11.3,21048,0.963,0.829
Romania,75.5,10.8,29512,0.980,0.821
Belarus,74.7,12.3,17984,0.986,0.823
Russia,73.1,12.2,26157,0.985,0.822
Oman,77.9,9.7,27574,0.890,0.816
Kazakhstan,73.2,11.9,23943,0.990,0.811
Bulgaria,74.9,10.4,21238,0.979,0.812
Bahamas,73.9,11.0,29113,0.963,0.812
Turkey,77.7,8.2,27663,0.961,0.820
Mexico,75.0,9.7,19160,0.979,0.779
Brazil,75.9,8.0,14068,0.984,0.754
China,76.9,8.2,16057,0.961,0.768
Thailand,77.2,8.4,16982,0.972,0.777
Ecuador,76.9,8.9,10906,0.984,0.740
Indonesia,71.7,8.2,11459,0.937,0.718
India,69.7,6.5,6681,0.855,0.633
Nigeria,55.2,6.3,4910,0.860,0.535
Ethiopia,66.6,2.9,2207,0.878,0.498
